variable,MIDS,MIDS_bumped,MIDS_named_dev,MIDS_named
has_catalogNumber,0,1,MIDS_level_0,MIDS_level_0
has_preparations,1,2,MIDS_level_1,MIDS_level_1
has_scientificName,1,2,MIDS_level_1,MIDS_level_1
has_scientificNameID,1,2,MIDS_level_1,MIDS_level_1
has_collectionCode,2,3,MIDS_level_2,MIDS_level_2
has_continent,2,3,MIDS_level_2,MIDS_level_2
has_coordinates,2,3,MIDS_level_2,MIDS_level_2
has_countryCode,2,3,MIDS_level_2,MIDS_level_2
has_county,2,3,MIDS_level_2,MIDS_level_2
has_decimalLatitude,2,3,MIDS_level_2,MIDS_level_2
has_decimalLongitude,2,3,MIDS_level_2,MIDS_level_2
has_eventDate,2,3,MIDS_level_2,MIDS_level_2
has_higherGeography,2,3,MIDS_level_2,MIDS_level_2
has_identificationID,2,3,MIDS_level_2,MIDS_level_2
has_locality,2,3,MIDS_level_2,MIDS_level_2
has_recordedBy,2,3,MIDS_level_2,MIDS_level_2
has_recordNumber,2,3,MIDS_level_2,MIDS_level_2
has_stateProvince,2,3,MIDS_level_2,MIDS_level_2
has_verbatimDepth,2,3,MIDS_level_2,MIDS_level_2
has_verbatimElevation,2,3,MIDS_level_2,MIDS_level_2
has_identifiedBy,3,4,MIDS_level_3,MIDS_level_3
has_acceptedNameUsage,0,0,MIDS_level_0,MIDS_level_unknown
has_dateIdentified,0,0,MIDS_level_0,MIDS_level_unknown
has_image,0,0,MIDS_level_0,MIDS_level_unknown
total,0,0,MIDS_level_0,MIDS_level_unknown
has_speciesKey,0,0,MIDS_level_0,MIDS_level_unknown