datasetKey,name
a0546df1-b727-402f-b9b8-570e65e58026,"Vascular Herbarium, NMBU"
62a36329-6b82-48bc-94d8-1cb9adb91ab5,Botany (UPS)
3799e4f9-f685-4796-99b5-f78524441b93,"Base de datos del Herbario CIQR de El Colegio de la Frontera Sur, unidad Chetumal"
046a2685-be26-4d6e-80cc-d95e907922fa,HCDAL - Herbário Caririense Dárdano de Andrade-Lima
207b6c64-7b58-4d6a-816d-bc759c27eafc,"Vascular plant herbarium TRH, NTNU University Museum"
77e7e6bd-7822-4b84-a46b-39a06abdac2e,Carnegie Museum of Natural History - Mollusks
2e3a8e5c-eef9-462d-a690-3a91fe111e13,Indiana University Herbarium
4efa0623-a625-4949-aea4-7cb60a99b6f8,Swaner Preserve and EcoCenter
8295ea14-c4fd-499b-bc68-2907ed36badc,Fort Lewis College Herbarium
382ecf04-5613-4825-99d6-a4665a93fc7e,Estructura y variación geográfica de las asociaciones de diatomeas bentónicas de la Península de Baja California; Bahía de La Paz
0bfd2d69-2a35-4291-9e73-bd311463bd15,Naturalis Biodiversity Center (NL) - Coleoptera
fccc3c1d-d9df-4ffd-b7e1-1b9eb11f95b1,University of Florida Herbarium
05498053-5a06-45d5-bf6c-dbea1c42cb2b,EAC - Herbário Prisco Bezerra
196bb137-2f82-40d5-b294-e730af29749f,The University of Arizona Herbarium
025a810b-28f6-427d-b342-16fdf5f74f4b,The Orthoptera collection (EO) of the Muséum national d'Histoire naturelle (MNHN - Paris)
a8823dd5-32d7-4465-932b-accdf76ef4ff,"Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit"
50ee2f53-7f79-4808-bceb-3e660fd1e666,"Sistematización de la colección entomológica y actualización de la colección del herbario CHIP del Instituto de Historia Natural y Ecología (IHNE), Chiapas"
b9ab58cf-785e-44a7-a873-1966e14a6715,DAV UC Davis Center for Plant Diversity
1f8c7572-5cda-44be-9a78-0658217fc279,University of South Alabama Herbarium
080aa588-2f4c-4d65-8a55-f0b83e8aa7e6,HUTO - Herbário da Universidade de Tocantins
9357e02f-20fc-4bc5-9bcb-dc8abcbebf16,La vegetación y flora de las Lagunas de Catazajá-Emiliano Zapata
67893f3c-c409-41c6-a8f2-47956739a911,Huntington University Herbarium
c282d7ee-b624-42a2-ace1-aff9bfff5e7c,"Moss herbarium, UiB"
d1b25dcd-472e-4902-b53c-3b164269e049,University of Connecticut
5f513dff-ccd8-4578-ad0b-5e6cf035e4d1,CESJ - Herbário Leopoldo Krieger
b6d0f953-29b4-41da-a255-2ed07c83edf1,Luther College
137ed4cd-5172-45a5-acdb-8e1de9a64e32,"Invertebrate Paleontology Division, Yale Peabody Museum"
e8ba42b7-c4e4-4e57-aca8-58768f8f5f72,Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México
331b6d1b-842e-4c63-aa23-75ef275d8a9f,Towson University Biodiversity Center
f477ab07-21ac-45b4-b846-38dfd3ce05ce,Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México
ee8a365e-25fd-4505-a154-af6f290c127a,HTSAw - Xiloteca do Trópico Semiárido
94dd2cee-ed7d-4f98-894f-efafeac92b5b,Shirley C. Tucker Herbarium at Louisiana State University
045aa661-f985-4203-80ff-98daafdfe377,CM Herps Collection
cb4882a8-19d3-41a1-9373-c1a868b5ac9b,Canadian Museum of Nature Annelid Collection
93a2a79b-2728-429b-b095-94ec8dee8a4d,Diversidad genética en dos especies mezcaleras
4f8c3594-d7b2-4985-8dd9-1ae77f9187d4,The Diptera collection (ED) of the Muséum national d'Histoire naturelle (MNHN - Paris)
aced32f9-e511-48c7-8e9e-b625777bdf7f,University of Illinois Herbarium
7c2c5cdc-80e6-49d5-8e95-08fc7da0a370,NCSM Paleobotany Collection
82bcf2f2-b2d6-45a5-b0ca-d70d8ab4ebf8,New York State Museum
f4f833ea-0abf-4059-948e-132c64dda1be,UCM Mammal Collection (Arctos)
e2a12ef3-cf03-4ce4-8aff-802ccf2aec1d,University of Richmond Herbarium
781b461a-2788-4fa6-b3df-bbed9447f5a3,"Caliente Field Office, Bureau of Land Management"
c22f048c-6f77-4488-a203-865537dddba9,Inventario florístico de la región Calakmul-parte baja de la región Lacandona (Cuenca alta del Usumacinta y Marqués de Comillas)
8ef66009-4c41-45a1-a2c1-4555da6d8e29,"Sistematización de la Colección Paleontológica de la Facultad de Ingeniería, UNAM"
2ec3b31e-c86b-4ce9-b265-77c8c3f9643c,UAM Earth Sciences Collection (Arctos)
b5f4526b-f4fb-4d90-8ce0-975e0cda8ff6,"Invertebrate Zoology Division, Yale Peabody Museum"
66e00116-15fa-4149-a94a-eb91b98b622c,Humboldt State University
282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb,Western Connecticut State University Herbarium
bc93e4c6-fd85-4412-987f-52f6fa3bb67d,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina
8e58cd34-3cbb-46f7-9c25-527251881a6f,Naturalis Biodiversity Center (NL) - Micropaleontology
8096525f-6f67-4bd2-a160-48ed4bea8aa7,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte
2eb8ff2f-4826-4fc3-be68-22d805bcae88,"Rutgers University, Chrysler Herbarium - Lichen Collection"
c55ac6d0-180d-41be-829a-e82898c5ca54,Australia's Virtual Herbarium
4ac45d7e-c6e5-45ea-a0e0-aea6ebe2afcf,Oskarshamn herbarium (OHN)
39289378-eed8-442c-ba0b-fce8b1679d8f,"Pacific Northwest Herbarium, Western Washington University"
6b565194-9707-42da-8052-9f9cf5f9aa60,Ohio State University Herbarium
8919571f-205a-4aed-b9f2-96ccd0108e4c,Collaborative databasing of North American bee collections within a global informatics network project
4960f30c-c1c7-490e-966a-61ad02969e38,Patuxent Research Refuge - Maryland
cd177f63-761b-44f6-866e-ee19d2ac134e,Botanical Research Institute of Texas
205fa34c-2fcb-4492-b992-972b18560f6f,Field Museum of Natural History (Botany)  Seed Plant Collection
08adc6ee-21d1-4619-8094-d728747cd54e,Computarización del Herbario Ficológico de la Universidad Autónoma de Baja California Sur
9f3bbc7b-c682-4f66-88b3-48eef3a38f38,City of Alexandria Herbarium
4305303f-976d-4074-accc-91e205435cc8,SJRP-Algae - Herbário de algas de São José do Rio Preto
8f3923b5-4802-40ff-bf98-0acba66691ec,El banco de datos del Herbario HCIB en línea (Fase I): Implementación del Sistema Biótica
7b1f4ee4-7f50-4c82-9007-ba76528a84df,UFACPZ - Herbário da Universidade Federal do Acre
c44e18ab-837b-4a58-b8df-dc521a173029,Flora vascular del cerro El Zamorano
5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb,"Flora del Parque Nacional Cumbres de Monterrey, Nuevo León, México"
6c6f34ed-58a4-4ba2-b9c7-34524f79a349,NMNH Paleobiology Specimen Records
8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,"Vascular Plant Collection, University of Washington Herbarium"
b58043bc-9e47-4a8f-9e4b-5d4c510ea0e1,SMDB - Santa Maria Departamento de Biologia
dde625e8-cc2a-4877-9ec4-0b8a20dfded9,Illinois Natural History Survey Insect Collection
ba77d411-4179-4dbd-b6c1-39b8a71ae795,UWBM Invertebrate Paleontology Collection
2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,University of Delaware Insect Research Collection
5386d272-06c6-4027-b5d5-d588c2afe5e5,Tropicos Specimen Data
f016064e-c9c6-4baf-925c-e68e1190bb6d,Base de datos sobre la flora de Durango
5ea005e8-626f-47de-afee-972e976cc3a7,"Natural History Museum, University of Oslo"
9d9016ef-a88f-4312-a0bf-638fc4be53ba,Washburn University
ecb0a329-c019-4a59-abe3-fa7e72055902,"Inventario de la biodiversidad de vertebrados terrestres de los Chimalapas, Oaxaca"
e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb,University of Tennessee Bryophyte Herbarium
a69decc7-76ba-496a-a66e-f91049c02cf0,Stuart K. Harris Herbarium
ec4acc26-ff1b-4131-a1df-a950fe31bb0e,"Vascular Plant Collection, College of Idaho, Harold M. Tucker Herbarium"
005ac06a-3d9a-46ad-ac3c-062aaa5b7059,Muhlenberg College
0fcbf959-b714-4ba2-8152-0c1440e31323,University of Maine Herbaria
ef59f7cc-ed42-45fc-9abc-5edfb2c8caec,"Berea College, Ralph L. Thompson Herbarium"
b26cc2c9-1141-4502-805a-b9dd1d83c321,Inventario florístico de Tetipac y sus alrededores (Sierra de Taxco)
99e84c7d-dd3c-40d9-9526-54f4342cda95,Santa Cruz Island Reserve Herbarium
43c69d2a-0fd2-4d34-a1ef-50d0f9c01353,Armstrong State University Herbarium
7340c0df-8829-4197-9dc7-0328b8e7f5dd,University of Montana Herbarium
ced8c9bc-e8b5-49e7-860a-289fc913860c,"University of Nebraska State Museum, C.E. Bessey Herbarium"
8e5fffb5-0b22-472d-8386-de291d17d513,Shirley C. Tucker Herbarium at Louisiana State University
79be41bc-8142-485a-9d57-d6195f9a7c81,University of Central Oklahoma Herbarium
b000920c-6f7d-49d3-9d0f-2bb630d2e01a,Farlow Herbarium (Harvard University)
4520451d-bd3b-4095-b777-24a420d442c1,Patricia Ledlie Herbarium
b0e9fd61-1e0f-408f-b035-d7952614d7f3,"Plantas de La Frontera (ecorregión 12.1.1.1), e inventario florístico del Rancho El Aribabi, municipio de Imuris, Sonora"
584e9356-3882-4380-b249-342dd4a11236,Diversidad fúngica en planicies del desierto central sonorense y centro del desierto chihuahuense
b688c17c-3761-4ccd-a42f-88219f5fcff4,Naturalis Biodiversity Center (NL) - Crustacea
53a8ce69-d9b9-4ae2-848a-dab0d4d810d1,Florística y biogeografía de algunos bosques mesófilos de la Huasteca Hidalguense: Fase 3 (Chapulhuacán y Pisaflores)
2c2cc29c-3572-4568-a129-c8cbec34ccbe,AMNH Invertebrate Paleontology Collection
0b2b87e2-5c7f-4b30-9ea4-dc3f5f25aacd,"Base de datos y catálogo para la utilización, conservación y disponibilidad de Phaseolus en México"
49db9725-7bdc-4c38-8548-c32994e811c1,University of Central Florida Herbarium
e2fda823-8a6e-4bd8-8602-924615373938,Plantas exóticas del centro de México y obtención de imágenes para una flora virtual de malezas
46c11153-2154-495d-89d2-7cdef6425cdb,Pennsylvania State University Herbarium
24aa66d3-86a3-44a7-b6a3-6a45edc1e6a9,Northern Territory Museum and Art Gallery provider for OZCAM
b8972f6b-c67f-45c0-b348-954866e04a0f,Brigham Young University
c4bb08d4-c310-4879-abee-1b3986e8e0ca,KUBI Herpetology Collection
b027383d-6705-4d06-8514-db6ef16efdb5,Seney National Wildlife Refuge
7f497d81-4c7e-4e06-b166-a459968b14e3,"Miami University, Willard Sherman Turrell Herbarium"
2cebadf7-6d52-49b2-b3a7-d4969a36aa12,George R. Cooley Herbarium
482990c6-da88-4d99-8cf4-ccd27ee82f44,South Australian Museum Australia provider for OZCAM
b80d24e8-17ff-4092-88d7-7e5ad11c117a,"Historia natural del parque ecológico estatal  de Omiltemi, Chilpancingo, Guerrero, México"
e70af26a-fb9e-43ab-96a0-d62a2df37e6d,George Safford Torrey Herbarium (CONN)
c481fbc6-4bd7-4c50-8537-ba1993d4eb88,Field Museum of Natural History (Botany) Lichen Collection
bfb53140-79c1-4625-81aa-3f37de7c0c2f,Southern Utah University
21b563bc-70c2-46d5-bce8-2489db2db3d8,"East Tennessee State University, John C. Warden Herbarium"
0c6fb8af-94f4-44f8-90c6-928008101b04,"Evaluación estacional de la fauna ictiológica, malacológica y flora ficológica de la Reserva de la Biósfera El Vizcaino, BCS, Fase I: Laguna Ojo de Liebre"
466ee466-51d5-4bab-99e6-92e534e6877b,Contribución al conocimiento de la flora útil de la selva Lacandona
ab3c6b74-477b-4f79-8711-0643851021f0,Florística y biogeografía de algunos bosques mesófilos de la Huasteca Hidalguense: Fase I (Tenango de Doria y Tlanchinol)
1527b668-b797-42be-94d3-0058e1393e94,"Botany Division, Yale Peabody Museum"
945d6d7d-c768-4189-be9d-f693104d590c,Cornell College Herbarium
312cf3f1-2913-4c63-9ba8-0b870cd3c120,University of North Carolina at Asheville
14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a,Morton Arboretum
90e07356-df5d-4372-a2c4-34927db9a3ec,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos
237d30ca-7675-4840-b4fd-96771fabf518,Herbier du Québec (QUE) - Collection de plantes vasculaires
3056112e-97c6-4d0d-b6c2-3c0a9adaca24,Mississippi State University
c6c6ee10-c7ce-41a9-9552-7984654b87ce,Filogeografía y recursos genéticos de las vainillas de México
ba1c8acd-1c39-4544-996d-41c1a0cbad45,Diatomeas (Bacillariophyceae) y Dinoflageladas (Dinophyceae) planctónicas más frecuentes en la región sur del Golfo de México
9576cbeb-8852-44ab-b1c8-6c708f30a7a8,Sistematización de la Colección de Algas Marinas del Centro Interdisciplinario de Ciencias Marinas CICIMAR-IPN
f1960cd5-e27a-40f0-b4bd-3ca7157e4bbb,HUSC - Herbário Unisanta
844875a9-9927-48a5-90b4-76c5f227f145,"Vascular Plant Collection, University of Montana Herbarium"
e6ccc2bd-9451-4802-8a51-8640d9f09793,"Vascular Plant Herbarium, Oslo (O)"
6d710d01-54f6-448b-bbf9-adee9e46fc3c,Diversidad y riqueza vegetal de los substratos rocosos del centro del estado de Veracruz
c4306d83-64da-4a45-bcb4-efd743caa2a3,"Algae, Norwegian College of Fishery Science"
aa977d4a-0dd6-4441-87d4-5efb60435a0b,Naturalis Biodiversity Center (NL) - Foraminifera
f39780bd-7108-4685-8e6a-b340ff5a5965,CPAP - Herbário CPAP
b133b7cb-c0a1-4cd7-9775-cbc78fea50fc,Funed-Pol - Coleção de lâminas de grãos de pólen
1599bdcc-9eec-4d68-a2c4-83e2c2e7d9c6,Actualización de las bases de datos de las colecciones de plantas vasculares y macromicetos del herbario de la UJAT
ea44c7c9-9cca-4fae-9a0a-84f1b95f21cf,URM - Herbário Pe. Camille Torrand
18cc4ad5-9449-470e-9195-5858b12d822c,"Fusión y actualización de las bases de datos del Herbario de la Facultad de Ciencias, UNAM (FCME), Guerrero"
e27f0218-47e0-41bc-9086-9d9169096e90,Paleontological Research Institution Collections
53feaa83-e3b6-4ad3-8597-293b153e7548,Frost Entomological Museum
781fd581-7b93-471e-a025-413e4bcd8491,University of Florida Herbarium (FLAS)
73d176ad-883f-4ec7-91c0-c0bdae8b8a6c,Estudios previos justificativos para la declaratoria de áreas naturales protegidas en Tamaulipas
a4e6033a-d1eb-46d3-869d-7c0328f09aa7,Rancho Santa Ana Botanic Garden Herbarium
c13a5966-99a3-4383-b9ef-259cf46800fe,Gila National Forest Herbarium
33d00b3b-e0b0-4e22-9a22-83583612240c,Société Québécoise de Bryologie
9756b9a4-c070-4359-8a07-2383b09d0d04,Cornell University Plant Pathology Herbarium
8bcb95b2-ab5c-4368-8ead-14588eeb9c98,Calvin College
724dc40a-421c-44f8-b426-969f99fa8a1c,Formación del banco de datos del herbario (UCAM)
ef83b1d4-4aaa-4986-a771-c7dbc9c674ee,"Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México, segunda etapa 2008-2009"
821c1855-6817-40ee-8732-7f472d238513,University of Alaska Museum of the North Herbarium
ef04e127-bb7d-4bf0-82d3-767d43108f81,West Virginia University Herbarium
41800344-33b3-4201-b9d2-cabbbf564fbc,Benedictine College Herbarium
4dfb5828-3653-4604-ac00-db1e1da98b02,SDSM Botany and Paleobotany Collections
181352ea-3598-4f32-b919-c8f6097f4c65,Michigan State University
45544aa4-8762-4bf0-bfc6-890d08dc6ead,Illinois Natural History Survey - Fish Collection
241d64f1-480a-48ae-8ec2-cd12af4a16e9,Fort Lewis College Herbarium
0024bce6-9970-4067-a279-68d99dd694de,Clasificación de tres especies endémicas de Mammillaria dentro del PROY-NOM-ECOL-059-2000
0a854fba-3da1-4d7b-88e1-1204a993ee00,Luther College
e647814d-6975-4b34-b8c4-e79b7ca83085,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul
8ed556b0-b801-4575-ae53-db7cacbfd0c9,"Base de datos del Municipio General Heliodoro Castillo, Guerrero (120. Sierra Madre del Sur)"
5ab348ab-439a-4697-925c-d6abe0c09b92,University of California Museum of Paleontology
74ba1d92-d9a5-486e-8e52-bb44d51e1788,"Herbarium specimens, Harmas J.H. Fabre (FABR - Sérignan-du-Comtat) of the Muséum national d'Histoire naturelle (MNHN - Paris)"
6f2cd35e-9ee6-44d5-b182-cdd19d01a4c3,Flora acuática de Querétaro
9e66257f-21a9-491a-ac23-06b7b62ceeb7,Field Museum of Natural History (Geology) Paleobotany Collection
b26fa674-6300-4ea0-a8e3-fc0ce32b5226,Field Museum of Natural History (Geology) Fossil Invertebrates Collection
8728ef71-fdcc-4027-8139-38b2c0628fba,Idaho Museum of Natural History
b985f284-eac5-4efe-8a7c-c726cdf7cf33,William F. Barr Entomological Museum
30733214-8eb0-4894-b19d-775fe8a617cf,HAS - Herbário Alarich Rudolf Holger Schultz
9e8c4024-45b1-4c06-854d-9f6d807dae67,Kaibab National Forest Herbarium
9a861ebe-f8d7-4eb1-a2c8-3006f07cfec2,Wilton Garden Club Herbarium
7f7939c8-5276-4fbb-b12c-de89a5a8044f,"Inventario florístico y faunístico del Parque Nacional Barranca del Cupatitzio, Michoacán"
fb33ec4c-1bab-48f2-9faf-a5205a9a2c37,"HPAN - Herbário do Pantanal ""Vali Joana Pott"""
2b4ed452-cda9-458a-aaf3-742a07201add,"Computarización de la Colección de Referencia para Zoología, Arqueozoología y Paleontología del Museo de Historia Natural de la Universidad Autónoma de Baja California Sur"
65d603ef-19be-4d6f-92dc-76c5e4220175,HAMAB - Herbário Amapaense
a7228b3f-982a-4518-a761-b19b00e14844,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"
995cc7f1-69c3-4317-ab77-28fd48f1e535,"University of Colorado, Museum of Natural History Herbarium Lichen Collection"
61a1c0ce-8327-4e2a-9766-449751a49b7a,University of New Hampshire - Macroalgal Collection
4ed5b2e2-8b45-4b5a-a38f-df7c6e51030e,"Diversidad y dinámica del fitoplancton marino en la bahía de Acapulco, Guerrero"
c359c2e5-cd20-4057-9179-35a7a5b5da72,University of Hawaii at Manoa
6f82f182-39b4-4b3f-9087-91f6afafc04e,National Herbarium of Canada
137a4346-a8ba-419e-bcd9-aa854d6df779,"Propuesta para rescatar y conservar la paleobiota de la Cantera Tlayúa, en Tepexí de Rodríguez, Puebla: Fase II"
70f5686f-c1ef-4b9a-a7ae-2536bc7a7766,Arachnida e Myriapoda Museu Nacional (MNRJ ARAC)
fd62a976-d195-492a-b6f0-f57fef8b6acc,CRI - Herbário Pe. Dr. Raulino Reitz
364b1f8d-5975-48d9-bba1-c97ab172986c,University of Wisconsin-Milwaukee
2e03b83d-d2b9-4a8e-90b5-42b5b1301a92,Canadian Museum of Nature Mollusc Collection
fc628e53-5fdf-4436-9782-bf637d812b48,"C.A. Triplehorn Insect Collection (OSUC), Ohio State University"
215eeaf0-0a88-409e-a75d-aec98b7c41eb,Intermountain Herbarium (Utah State University)
3c9420c9-c4a8-47dc-88b7-b5638ca5e716,Natural History Museum (London) Collection Specimens
36be338b-cfb2-47e4-a1fc-b3f7a1aaaf22,MBML-Herbario - Herbário Mello Leitão
76e76ec1-e0fd-41ab-aefd-b90430a694ac,Diversidad y distribución de las comunidades de fitoplancton y peces de ríos y lagunas del volcán San Martín de la reserva de la biósfera Los Tuxtlas
80dcaaae-9e3c-4000-b8bf-e1e29a5da9a4,Collection botanique Mulon L. (BOUM)
d7dc7e86-062e-44e3-a1a6-0f8e4e0b296a,Barcode de Bambúes nativos de México
6aca6f67-a2e9-440d-a503-9501db6e6f36,University of Nebraska Kearney
879d475f-4b76-4d18-8cf6-a7e5a6d44926,University of Georgia Collection of Arthropods
de5203b1-5a44-4010-948c-b7d33f46397a,Museum of Northern Arizona
0ed0b942-198e-4500-8fe0-1d1ef0785454,SORO - Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade
53aa69a7-bd66-468b-8ffa-ec6cb06d7d8d,La etnobiología de los recursos nutritivos en las comunidades Tzeltales en los Altos de Chiapas
feec2eee-841a-47d3-9751-df5f28cdd366,Base de datos sobre los hongos anamorfos de restos de vegetales del bosque mesófilo del estado de Veracruz
6b5e29d3-b462-44d8-ba38-d68af5088067,"Entomology Division, Yale Peabody Museum"
fc014977-92f7-47fd-92d7-b609c39d8212,Phanerogamic Botanical Collections (S)
6bb853ab-e8ea-43b1-bd83-47318fc4c345,UF Invertebrate Zoology
7cc1fb18-45c1-499f-8476-682daa14a4a3,University of Alaska Southeast
d1de8464-14d4-43da-8a57-9792fc34d4bf,Malezas introducidas en México
a4b888a2-94bf-4680-b912-84964a236c82,University of Wisconsin - Eau Claire
06c35934-1b75-4196-838d-29d509951bf9,Tall Timbers Research Station and Land Conservancy
02153e3c-902f-4d8d-8c7a-11c38b99ec0c,CSIRO Ichthyology provider for OZCAM
3c6f1ea5-f2e7-4203-9cfe-74ec2fb1b035,"Vascular Plant Collection, Rocky Mountain Research Station Herbarium"
6f470382-cb0b-4634-a796-2248bfa97fdc,Campbell University Herbarium
ceba331e-9da3-44ee-8970-f1eb8d1a68d6,Actualización e incremento de la base de datos del Herbario de la Benemérita Universidad Autónoma de Puebla
1e6c8187-1521-4501-b205-ac8f513d5e04,University of Michigan
f3327705-8d69-4d9c-88b7-584a08c74653,North Carolina Zoological Park
eeb4872b-7fb4-4ecd-8ce5-82e194f04735,"Robert W. Freckmann Herbarium at the University of Wisconsin, Stevens Point"
30ab9c2a-0b54-4c04-84ca-bc7abdd90b52,"Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum"
05c029de-734c-450a-a41a-56061b7ebb18,Michigan State University Herbarium Vascular Plants
ec248223-f277-4c02-b1fa-60056b5a689a,Massey Herbarium (Virginia Tech)
1844b78c-58c1-4031-98c9-54f97fc16e09,Estudio biosistemático del género Bouteloua de México
4d89070b-5dea-4a12-8a09-3f65ba33dba1,"Cryptogamic Herbarium, Michigan Technological University"
b7a79601-c07b-46d5-bd09-d4472b0d9431,UTEP Fossils (Arctos)
36d35b23-113e-4633-90ec-19d265a3b5f6,The New York Botanical Garden Herbarium (NY)
d68063b0-2d3e-4a7c-bf2b-cf2a1fb629f9,"Base de datos de colecciones de maíces nativos, teocintles y Tripsacum de México"
431b56fc-d016-459a-97ab-1e9c8168a7f0,HJ - Herbario Jataiense
4c46db9d-74d7-4e45-9ed2-0da40ec6b44f,VMNH SVDM Invertebrate Paleontology
0c94911f-6f18-40a2-a0c3-95c845bc41d7,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia
dddf9315-7819-4289-b587-6be72e4894d2,"Bryophyte herbarium TRH, NTNU University Museum"
65536dcd-7bb2-44e5-af3f-4a13f08e53d0,Academy of Natural Sciences of Drexel University
8f3b62fb-56ec-49e8-9f8f-bb257348291f,"University of Nebraska State Museum, C.E. Bessey Herbarium"
1b42f60a-906a-4639-96e7-c5fcfc3231c3,"Inventario florístico de las Cactáceas del estado de Tamaulipas, México"
77d89822-9c2d-47b8-ab06-62819d13d377,Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México
6eb1dbc4-ea33-456b-8782-0a953900d37a,William Jewell College Herbarium
2c07346d-2239-479b-91e4-787a8f589457,UFRN-Fungos - Herbário UFRN - Fungos
0220907a-0463-4ae0-8a0b-77f5e80fff40,"Vertebrate Paleontology Division, Yale Peabody Museum"
4d9103e7-fe58-4dc5-9fa8-e739949fd3f3,Canadian Museum of Nature Fish Collection
c5eeb223-0515-423a-a51a-151426c8f60d,Eastern Michigan University Herbarium
d8862887-ff5c-4caa-9d61-f1958887ebc1,PACA-AGP - Herbarium Anchieta
cdb6ec43-935e-4da2-8798-71e40ca6d12a,Naturalis Biodiversity Center (NL) - Mollusca
b1db48d5-22e7-4f5e-bce2-d267b447cdaa,Lista florística de la Costa Grande del estado de Guerrero
1f2933c1-3f7a-4521-9b16-2c34b369ee95,Uso y monitoreo de los recursos naturales en el Corredor Biológico Mesoamericano (áreas focales Xpujil-Zoh Laguna y Carrillo Puerto)
01dfe0f4-24fe-447e-9f8f-1db7f8394b89,Lund Museum of Zoology - Insect collections (MZLU)
4e3043a6-d48a-4a35-b5fb-f67d50cbc158,University of North Carolina at Chapel Hill Herbarium
4c9d08ce-71c1-47b8-a572-2d40e5984c49,Salem College
fa1518c7-2cb3-49a3-98a6-67e0581b7669,"Louis-Marie Herbarium, Université Laval"
616857b7-f952-44ef-9b6f-576dc1e65b51,The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)
9368e302-f8e7-4714-aed4-db2faa861e5c,"Lichen Collection, University of Washington Herbarium"
c6e89321-fc23-4cba-ad79-be3e52edfb6d,University of New Hampshire
c3134980-bf5c-49b8-a289-790d45f02c86,University of Southern Mississippi Herbarium
6d4b658a-90b4-4639-8b06-b7f07637f6aa,"University of Vermont, Pringle Herbarium, Algae Collection"
beecd160-a96c-46fc-bdce-7dcb7024d473,"Fungi Collection, University of Washington Herbarium"
68abd0b8-cff1-4c84-a2d9-bd4ac6df4fa4,HUCO - Herbário da Universidade Estadual do Centro-Oeste
