institutionCode,total_idig,total_count_observed_num_times
?,1,1
A,89817,1
A,179073,1
A,179102,1
AASU,5061,3
ALA,78961,3
ALAJ,8670,3
ALBC,236,3
AMES,16638,1
AMES,40064,1
AMES,40080,1
AMNH,5704,3
APCR,1456,3
ARCH,4723,2
ARCH,4727,1
ARIZ,35225,3
ASC,83581,2
ASC,83587,1
ASU,363912,1
ASU,375915,1
ASU,383817,1
AUA,28127,3
AVCH,2111,1
AVCH,2704,1
AVCH,2730,1
AWC,1662,2
AWC,1745,1
BALT,27690,2
BALT,27702,1
BART,3765,3
BBLM,4480,1
BBLM,4481,2
BDI,18517,2
BDI,18526,1
BDWR,2524,1
BDWR,3720,1
BDWR,3999,1
BEREA,24281,2
BEREA,25984,1
BHO,4900,3
BHSC,1944,1
BHSC,17729,1
BHSC,20804,1
BING,19758,3
BLM,3712,2
BLM,3781,1
BLMAR,647,3
BLMMD,4700,3
BOIS,10409,1
BOIS,10727,2
BOON,15255,1
BOON,16109,1
BOON,16112,1
BPBM,431733,3
BPI,747457,3
BRFC,623,3
BRIT,84285,1
BRIT,127423,1
BRIT,141883,1
Brown,72097,1
Brown,73380,1
Brown,73606,1
BRU,15730,3
BRY,43699,3
BSN,10844,3
BUF,41035,3
BUT,48078,1
BUT,48632,1
BUT,48717,1
BYU,5,3
CalBG,542859,1
CALVIN,4825,3
CAS,818595,1
CAS,841544,2
CATA,2832,3
CAU,5377,2
CAU,5559,1
CBG,68,3
CCNL,1067,3
CCSU,1785,3
CDA,24115,3
CHAS,152,3
CHRB,60439,1
CHRB,95856,1
CHRB,97127,1
CHSC,74057,3
CIC,45853,1
CIC,47517,1
CIC,47948,1
CINC,41880,3
CLARK-A,7372,3
CLEMS,80574,1
CLEMS,80989,1
CLEMS,82668,1
CM,491803,1
CM,498102,1
CM,499117,1
CMC,21861,2
CMC,22276,1
CMNH,138,3
CNC,8,3
COLO,314618,1
COLO,339398,1
COLO,339422,1
CONN,3977,3
CONV,6436,3
CORT,5336,3
CRMO,2649,3
CSCA,69,3
CSU,2525,3
CSUSB,2003,3
CUP,71997,3
DAV,111498,3
DBG,87474,1
DBG,91191,1
DBG,91581,1
Deaccessioned,2,2
DEK,3801,2
DEK,5390,1
DES,85787,1
DES,90362,1
DES,91254,1
DEWV,10482,3
DMNH,48,2
DMNH,57,1
DMNS,6,1
DMNS,12,2
DOV,23261,1
DOV,52904,2
DS,118417,3
DSUND,1431,3
DUKE,416536,1
DUKE,428671,1
DUKE,437220,1
ECON,2519,1
ECON,5243,1
ECON,5244,1
ECUH,5166,2
ECUH,5178,1
EDOBLM,1328,2
EDOBLM,1412,1
EIU,27333,2
EIU,31623,1
EKY,80178,2
EKY,80796,1
EMC,9434,1
EMC,9442,1
EMC,9445,1
ENLC,6059,2
ENLC,6070,1
ENMU,5170,3
EPHR,1746,3
ETSU,11116,2
ETSU,27258,1
EVE,1124,3
EWU,6684,1
EWU,7919,2
F,918715,1
F,997457,2
FARM,47030,2
FARM,47319,1
FH,135679,1
FH,229118,1
FH,229889,1
FHKSC,552,3
FHL,3508,3
FHSM,1,1
FLAS,171310,1
FLAS,174876,1
FLAS,175141,1
FLD,14619,2
FLD,16890,1
FMNH,23355,1
FMNH,23389,2
FSU,165291,2
FSU,169992,1
FTG,540,3
FTU,19346,2
FTU,19359,1
GA,220444,1
GA,270239,1
GA,270240,1
GAS,35404,2
GAS,40708,1
GEO,14856,2
GEO,21071,1
GH,234691,1
GH,517250,1
GH,517295,1
GMDRC,5498,3
GMNH,113,3
GMS,8142,3
GMUF,36503,1
GMUF,36506,1
GMUF,38862,1
GRCH,5419,3
GSW,13036,2
GSW,13055,1
GUAM,3,3
GVSC,3143,3
Harvard University,21323,3
HAW,4189,3
HBSH,2426,2
HBSH,2921,1
HCHM,4051,3
HCOA,665,3
HJAEF,1064,3
HLSD,3542,2
HLSD,3545,1
HPC,26212,1
HPC,26579,1
HPC,26596,1
HPSU,15733,1
HPSU,15804,1
HPSU,15893,1
HSC,74762,3
HSU,1,3
HUDC,8736,1
HUDC,8739,1
HUDC,8740,1
HUNT,5633,3
HWBA,636,3
IBE,13908,2
IBE,13934,1
ID,154171,1
ID,159924,1
ID,161840,1
IDS,60851,1
IDS,61595,1
IDS,61878,1
ILL,109602,3
ILLS,333142,2
ILLS,333143,1
IND,153492,1
IND,157224,1
IND,157860,1
INHS,57,1
INHS,83,2
IRVC,5672,3
ISC,102139,1
ISC,102307,1
ISC,102308,1
ISTC,6788,2
ISTC,6830,1
JEPS,109684,3
JFBM,12,3
JMUH,5062,3
JOTR,4358,3
JROH,4747,3
JTP,1,3
KAIB,19,3
KANU,1184,3
KE,15242,3
KESC,11861,3
KHD,1,3
KIRI,19729,3
KNK,22925,2
KNK,23479,1
KSP,25104,1
KSP,28199,1
KSP,37970,1
KSTC,50877,3
KU,384831,1
KU,398848,1
KU,399396,1
LA,17186,3
LACM,77,1
LACM,363,2
LCDI,1395,2
LCDI,1397,1
LEDLIE,1402,3
LINF,3569,3
Logan,3,3
LSU,168634,2
LSU,315798,1
LSUM,14555,3
MACF,247,3
MAINE,57878,3
MARY,53862,1
MARY,57318,1
MARY,57763,1
MASS,102015,3
MBM,286618,1
MBM,302860,2
MCA,51316,1
MCA,51328,1
MCA,51332,1
MCTC,13798,3
MCZ,3344,3
MDKY,10278,3
MEM,13570,2
MEM,15958,1
MESA,3136,2
MESA,6522,1
MICH,706343,3
MIL,3155,3
MIN,536581,1
MIN,559294,1
MIN,559885,1
miss,1,2
MISS,75866,1
MISS,79038,1
MISS,79446,1
MISSA,28369,2
MISSA,28394,1
MNA,36637,2
MNA,38924,1
MO,4673486,1
MO,4734594,1
MO,4751824,1
MOAR,25962,1
MOAR,25978,1
MOAR,26079,1
MONT,53260,1
MONT,53266,2
MONTU,64671,1
MONTU,65848,1
MONTU,66087,1
MOR,103504,1
MOR,103505,2
MOT,2488,3
MOVC,2572,2
MOVC,2607,1
MSB,39,1
MSB,43,2
MSC,203786,3
MSUB,10744,1
MSUB,13444,2
MSUNH,1384,3
MU,145035,2
MU,157591,1
MUGM,19,3
MUHW,41571,1
MUHW,41956,2
MUR,1,3
MWCF,5226,2
MWCF,5943,1
MWI,42354,1
MWI,42366,1
MWI,42367,1
NAVA,12737,2
NAVA,13547,1
NCSC,76822,2
NCSC,105548,1
NCSLG,4773,3
NCSM,1848,1
NCSM,2062,2
NCSU,4,3
NCU,508311,1
NCU,514059,1
NCU,514297,1
NCZP,2343,2
NCZP,2665,1
NDA,8379,3
NDOA,1150,2
NDOA,1271,1
NEB,48000,3
NEBC,159359,1
NEBC,240416,1
NEBC,240417,1
NEBK,11186,3
NHA,171352,3
NHI,8223,2
NHI,9087,1
NLU,10250,1
NLU,10552,1
NLU,10589,1
NMC,1,3
NMNHI,60,3
NMSU,1,3
NPS,2021,3
NULL,1,3
NY,3929270,1
NY,4052916,1
NY,4053391,1
NYS,43264,3
OBI,46093,3
ODU,1729,2
ODU,16131,1
OMA,18989,3
OMNH,5,3
OS,49574,3
OSC,82451,3
OSUC,1,3
PAC,30167,1
PAC,49629,1
PAC,64239,1
PASA,2394,3
PEMB,4469,2
PEMB,4475,1
PERTH,131,3
PGM,7591,3
PH,484504,1
PH,583478,1
PH,584460,1
PHw,1,2
PLU,7087,3
POM,87555,1
POM,205936,2
PRC,211145,3
PRI,729,1
PRI,747,2
PSM,11745,1
PSM,11848,2
PSUC,19,3
"PT: SEL, USF",1,3
PUL,2,3
PUR,4,3
REED,5484,3
RENO,102497,2
RENO,105161,1
RHNM,6,3
RM,6129,3
RMBL,6937,2
RMBL,9504,1
RMS,32469,3
RSA,334601,1
RSA,742723,2
RSABG,17,2
SACT,2522,3
SALK,500,1
SALK,813,1
SALK,998,1
SAPCL,258,3
SAU,4472,3
SBBG,132162,3
SC,3872,3
SCFS,1000,3
SCIR,1296,3
SD,127440,3
SDSM,1059,3
SDSU,33534,2
SDSU,34519,1
SEINet,268,2
SEINet,270,1
SEL,6216,3
"SEL, CM",1,3
"SEL, FLAS",9,3
"SEL, MO",1,3
"SEL, USF",61,3
"SEL,AMES",1,3
SENEY,741,3
SFSU,34336,3
SFV,7201,3
SIM,23933,1
SIM,23935,1
SIM,24496,1
SIU,6785,3
SJSU,10115,3
SMU,804,1
SMU,1273,2
SNM,27589,2
SNM,29141,1
SOC,18227,1
SOC,18432,1
SOC,18452,1
SRP,94195,1
SRP,96002,1
SRP,96021,1
SUU,5713,2
SUU,5849,1
SWRS,1670,2
SWRS,1676,1
SYRF,6991,3
TAC,2096,1
TAC,2251,1
TAC,7312,1
TAES,846,3
TAWES,4350,1
TAWES,4356,1
TAWES,4357,1
TENN,348881,1
TENN,348967,1
TENN,414921,1
TENN-F,67518,1
TENN-F,67625,1
TEX,1,3
TLE,25440,3
TLU,5389,1
TLU,6245,1
TLU,6641,1
TROY,14534,3
TTRS,10505,3
TTU,10,3
TU,67,3
UAAH,11201,1
UAAH,13000,1
UAAH,13039,1
UAM,200695,1
UAM,201751,1
UAM,202000,1
UAMb,74247,1
UAMb,74307,2
UARK,2727,3
UC,490499,3
UCD,102124,3
UCHT,43163,2
UCHT,43994,1
UCLA,690,3
UCM,230,3
UCMP,61968,3
UConn,155695,1
UCONN,155695,2
UCR,420768,3
UCSB,36815,1
UCSB,36816,2
UCSC,7348,3
UD,62,3
UF,20111,1
UF,20880,1
UF,20910,1
UHIM,10,3
UHM,1519,3
UMFK,46285,3
UMMZ,128,1
UMMZ,150,2
UNA,2394,3
UNAF,4878,3
UNCA,7839,2
UNCA,7875,1
UNCC,9590,2
UNCC,10595,1
UNLV,3143,3
UNM,125905,1
UNM,126364,1
UNM,126369,1
UOMNH,10417,3
URV,2261,3
US,3178979,1
US,3334413,2
USAM,621,3
USCH,104983,1
USCH,107552,1
USCH,115441,1
USCS,17838,2
USCS,17844,1
USF,241732,1
USF,244475,1
USF,245244,1
USFS,8148,2
USFS,8337,1
USFWS,5062,2
USFWS,5180,1
USMS,18291,2
USMS,18293,1
USNM,80789,1
USNM,80796,2
USU,154050,1
USU,165083,1
USU,167123,1
USUUB,6845,3
UT,21976,1
UT,68898,1
UT,71860,1
UTC,2639,1
UTC,2645,2
UTEP,81043,1
UTEP,81047,1
UTEP,82315,1
UVA,213,3
UVSC,15971,3
UWBM,19,3
UWEC,1675,3
UWFP,21517,3
UWL,7385,3
UWM,7815,2
UWM,7816,1
UWSP,73669,2
UWSP,77920,1
VALE,5060,3
VCU,18870,1
VCU,18873,2
VDB,156135,1
VDB,170625,1
VDB,171263,1
VDBBRIT,1,3
VMNH,70,3
VPI,33599,2
VPI,64917,1
VSC,72641,3
VT,281001,1
VT,365037,1
VT,365276,1
VVC,2515,3
WASH,712,2
WASH,848,1
WCSU,5775,1
WCSU,6010,2
WCUH,27994,2
WCUH,29877,1
WCW,10999,3
WET,4421,2
WET,4425,1
WEWO,1902,2
WEWO,1903,1
WFBM,4,3
WFU,156,3
WGC,4999,2
WGC,5002,1
WGCH,1222,3
WIS,504031,1
WIS,564216,1
WIS,574322,1
WJC,710,2
WJC,711,1
WNC,6625,3
WSCH,11031,3
WSP,76,3
WSTC,1019,3
WTU,360214,1
WTU,371808,1
WTU,374277,1
WVA,12153,3
WWB,4962,3
YM,9204,3
YPM,276902,1
YPM,278200,1
YPM,290977,1
YU,82636,3
YUO,183,3
